"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.644041670E-3,-3.266956329E0,5.984704742E0,6.492299194E0,9.414862895E0
1.268704169E-2,-3.530258789E0,5.883814545E0,6.156098328E0,9.218435189E0
2.273004167E-2,-3.413351898E0,5.659580841E0,5.981860657E0,8.914285355E0
3.277304166E-2,-3.167712708E0,5.594615936E0,5.874982910E0,8.709165027E0
4.281604168E-2,-2.864742737E0,5.760021973E0,5.649551697E0,8.561660963E0
5.286004167E-2,-2.313139801E0,5.498066711E0,5.135520630E0,7.871018069E0
6.290304169E-2,-3.601959686E0,4.903652802E0,5.268593903E0,8.048478495E0
7.294604168E-2,-3.860921173E0,4.752317505E0,5.751340027E0,8.400544392E0
8.298904166E-2,-3.535048828E0,5.467530212E0,7.946076050E0,1.027280786E1
9.303204168E-2,-2.558479614E0,5.740861816E0,8.888067169E0,1.088581877E1
1.030750417E-1,-1.823058929E0,5.317242737E0,8.804690552E0,1.044601311E1
1.131180417E-1,-1.622775421E0,5.063370667E0,8.657247162E0,1.015967770E1
1.231620417E-1,-1.419348450E0,4.578229523E0,8.480614471E0,9.741435079E0
1.332050417E-1,-9.759704590E-1,3.566483459E0,8.755293274E0,9.504077173E0
1.432480417E-1,-1.161584473E-1,2.800226898E0,9.158854065E0,9.578067198E0
1.532910417E-1,7.964936829E-1,2.836601257E0,9.724827118E0,1.016134693E1
1.633340417E-1,1.159189453E0,3.404220886E0,9.893226929E0,1.052655590E1
1.733770417E-1,1.457369385E0,4.175866241E0,9.136999512E0,1.015118439E1
1.834200417E-1,1.897454224E0,4.948409729E0,7.973469086E0,9.574095291E0
1.934630417E-1,1.985321503E0,5.590424652E0,6.897955627E0,9.098139431E0
2.035070417E-1,1.456920319E0,5.535039825E0,6.869065704E0,8.941104313E0
2.135500417E-1,4.390370178E-1,4.829107819E0,7.949219513E0,9.311451374E0
2.235930417E-1,-9.520202637E-2,3.748205566E0,7.385940857E0,8.283129284E0
2.336363750E-1,-1.048120422E0,8.054750061E-1,8.683891754E0,8.783924089E0
2.436793750E-1,-8.375083923E-1,-1.823657684E0,8.288563843E0,8.528038358E0
2.537223750E-1,-1.308728485E0,-2.187700653E0,7.282356262E0,7.715666992E0
2.637653750E-1,-2.015109558E0,-5.848338318E-1,8.478369141E0,8.734153675E0
2.738093750E-1,-2.949915619E0,-9.385482788E-2,9.952503662E0,1.038090266E1
2.838523750E-1,-6.876699829E-1,-6.810836792E-1,9.673483887E0,9.721782526E0
2.938953750E-1,2.153122559E0,-9.301657104E-1,7.859555969E0,8.202058585E0
3.039383750E-1,3.600313110E0,2.609074402E-1,6.047723694E0,7.043102233E0
3.139813750E-1,3.767066345E0,2.440524902E0,3.954027557E0,5.981745947E0
3.240243750E-1,3.963607635E0,3.867657166E0,9.771679688E-1,5.623505551E0
3.340673750E-1,4.342619476E0,4.137396240E0,-1.496138763E0,6.181813873E0
3.441103750E-1,4.105512543E0,2.764600983E0,-1.048719177E0,5.059452910E0
3.541543750E-1,4.125570831E0,5.149291992E-1,-4.903802490E-1,4.186401743E0
3.641973750E-1,3.661086731E0,-1.204096069E0,-2.014361115E0,4.348684180E0
3.742403750E-1,2.498604126E0,-2.007774811E0,-2.518662415E0,4.076498820E0
3.842833750E-1,1.663341064E0,-1.561103668E0,-3.363056488E0,4.063729457E0
3.943263750E-1,-1.227447510E-2,-1.707948303E0,-5.615272980E0,5.869286899E0
4.043693750E-1,-6.264472961E-1,-4.119283905E0,-7.480244751E0,8.562417745E0
