Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.358467,-0.8405021667,-14.57758575,-1.227746887
1.36851,-8.780440979,-18.99699554,-1.243314514
1.378553,-15.90248062,-20.76451996,-1.503473511
1.388596,-9.715546417,-14.03301819,-1.223106537
1.398639,-5.309608612,-10.78612015,-1.536704407
1.408682,-5.516777802,-9.691596222,-2.044747925
1.418725,-3.815864868,-7.962841187,-2.144440613
1.428768,-3.271446991,-6.89645874,-2.726430359
1.438812,-3.559298401,-6.271358643,-2.750380554
1.448855,-4.151017914,-8.616232452,-1.550924835
1.458898,-5.130580902,-11.14567245,-0.4667294312
1.468941,-6.398743744,-12.05203766,1.480421448
1.478984,-2.622546387,-13.54518265,4.139042816
1.489027,0.4489164734,-11.77361664,2.668351135
1.49907,1.391356659,-10.91290649,1.817670135
1.509113,3.839216309,-11.02517303,1.425635376
1.519157,5.397326202,-12.29243774,0.6884184265
1.5292,4.832101593,-11.58396103,3.505859528
1.539243,8.270002441,-8.037535858,2.113005981
1.549286,8.356672211,-7.457791443,-0.3962260437
1.559329,5.193450165,-6.34066452,-1.762734375
1.569372,4.990322571,-5.061574402,-3.576811981
1.579415,6.199508057,-3.44703186,-3.04227356
1.589458,3.694317627,-3.573668518,-2.727927246
1.599502,-0.1564247131,-5.527106323,0.9324110413
1.609545,-4.393363953,-11.48621429,7.578440552
1.619588,-6.258335724,-15.76132416,5.655988312
1.629631,-5.198240204,-12.40141113,-0.3911366272
1.639674,-3.874393158,-8.503666534,0.5110372925
1.649717,-3.050207062,-6.253994751,0.5885760498
1.65976,-1.424886932,-5.769602051,0.6647676086
1.669803,-0.3520678711,-6.803052979,0.5905220032
1.679847,0.162412262,-7.176676025,0.1347198486
1.68989,0.5445675659,-6.594386902,-0.09490264893
1.699933,0.4393363953,-6.138435059,-0.02559677124
1.709976,-0.3047662354,-6.19681366,-0.107177124
1.720019,-0.7432044983,-6.567442932,-0.03951782227
1.730062,-0.2396516418,-5.48534317,0.1645079041
1.740105,-0.1092727661,-4.457430725,0.5017565918
1.750149,0.02320175171,-4.19352951,0.2656974792
1.760192,-0.09969268799,-3.707041168,-0.4194277954
1.770235,0.2574645996,-4.41476944,-1.20050354
1.780278,1.020727386,-6.120173035,-1.505419464
1.790321,1.452579346,-7.440128174,-0.6081852722
1.800364,3.657943268,-9.643995209,1.424737244
1.810407,3.766766968,-10.72399933,2.162702637
1.82045,1.702559509,-8.613837433,0.4249662781
1.830494,0.2055226135,-5.577102356,0.2429447937
1.840537,1.901645508,-6.487958221,1.061592407
1.85058,2.882855072,-9.471703491,0.6283932495
1.860623,2.964136047,-10.39677979,0.03577560425
1.870666,2.264940033,-10.48584457,0.1582209778
1.880709,2.156715088,-11.18908218,1.50706604
1.890752,1.125808868,-10.62191162,3.013533325
1.900796,-0.1293310547,-11.10181366,6.570586395
1.910839,1.949695587,-14.98878067,5.234315186
1.920882,4.025279388,-15.72614731,3.188818817
1.930925,6.397396545,-18.06937454,4.919819183
1.940968,1.105151825,-15.35776337,0.3228785706
1.951011,-4.899311829,-7.436385956,1.517095184
1.961054,-1.303190002,-10.21730301,1.475182343
1.971097,2.100581818,-11.7064064,0.3234773254
1.981141,3.612587585,-12.69899231,-1.073268127
1.991184,2.936443634,-14.3633812,-2.37181778
2.001227,2.41388031,-14.39870773,-3.982318726
2.01127,3.551813965,-20.1880687,-2.124382324
2.021313,0.6512956238,-21.36492142,-2.092498627
2.031356,-3.431464233,-20.27833099,-0.6683601379
2.041399,-5.212310944,-18.2052919,-0.2664459229
2.051442,-5.49237854,-16.65751053,-1.022074585
2.061486,-4.135001221,-17.29443604,-2.20326828
2.071529,0.04505630493,-15.50580551,-2.231559448
2.081572,4.014052734,-10.32253418,-0.3309617615
2.091615,6.552174683,-7.214098206,-0.1802252197
2.101658,8.740923157,-5.274581451,0.07559280396
2.111701,8.038883057,-5.039121094,0.7348219299
2.121744,5.721551971,-5.52516037,-0.1017883301
2.131787,3.303031311,-5.879323883,1.250200195
2.141831,0.2627037048,-6.838678894,1.456022186
2.151874,-1.523082733,-7.506290588,1.304088135
2.161917,-2.986140289,-7.30480957,1.440005493
2.17196,-3.341201935,-6.719227295,1.753154297
2.182003,-2.817441101,-6.550079041,1.931433563
2.192046,-2.508932648,-7.16799408,2.265838165
2.202089,-1.428778839,-7.420369263,2.256258087
2.212132,0.001496887207,-7.468119965,1.890568542
2.222176,1.151106262,-7.697143707,1.417851562
2.232219,1.490450592,-7.978558502,0.940045166
2.2422615,0.8728349304,-8.40352478,0.5105882263
2.2523045,-0.1884580994,-8.86920639,0.4864883423
2.2623475,-1.053658905,-9.080866241,0.7698490906
2.2723905,-1.582658844,-8.97099472,1.218765564
2.2824335,-1.764081573,-8.87160141,1.547032928
2.2924775,-1.409319305,-8.798104248,1.592987366
2.3025205,-0.6765930176,-8.546926575,1.779798889
2.3125635,0.2999761963,-8.290210419,2.130369873
2.3226065,1.271006927,-8.061785431,1.879042511
2.3326495,2.232906647,-7.874824219,1.585652618
2.3426925,3.277284851,-7.780071259,1.701661377
2.3527355,4.489164734,-7.70732254,2.485730896
2.3627785,5.75912384,-7.764054565,3.850892029
2.3728225,6.278543701,-8.180189209,4.795577545
2.3828655,5.613925781,-9.90834549,4.574936371
2.3929085,4.344116364,-11.62826889,5.14016098
2.4029515,2.369722137,-12.15681976,5.489235077
2.4129945,3.966002655,-11.85983734,8.262068939
2.4230375,3.641477509,-10.7362738,10.00938538
