"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.453565834E-1,-3.775149536E-1,6.514303436E0,6.320905609E0,9.084740751E0
6.553995833E-1,-4.197271729E-1,6.607709198E0,6.020031281E0,8.948674112E0
6.654425833E-1,-3.345542908E-1,6.673422546E0,5.931415558E0,8.934662029E0
6.754855833E-1,-9.924362183E-2,6.760092316E0,5.995332642E0,9.036188959E0
6.855285833E-1,3.817062378E-2,6.851701813E0,6.157894592E0,9.212325468E0
6.955715833E-1,1.692979431E-1,6.909032593E0,6.441554718E0,9.447593363E0
7.056145833E-1,3.576063538E-1,6.888525238E0,6.896009674E0,9.753697334E0
7.156575834E-1,4.941224670E-1,6.906936951E0,7.488178253E0,1.019915431E1
7.257005833E-1,5.230123901E-1,6.982230377E0,8.070317688E0,1.068433950E1
7.357435833E-1,2.454895020E-1,6.961872711E0,8.833730164E0,1.125001002E1
7.457865833E-1,-1.826202393E-2,7.019802246E0,9.506281586E0,1.181724785E1
7.558295833E-1,-8.502319336E-2,6.996301117E0,9.891131287E0,1.211568968E1
7.658725833E-1,1.248403931E-1,6.933581543E0,9.839039612E0,1.203731027E1
7.759145833E-1,3.224295044E-1,6.889872437E0,9.419162750E0,1.167454196E1
7.859575833E-1,2.871029663E-1,6.815926208E0,9.066945190E0,1.134675166E1
7.960005833E-1,-9.430389404E-2,6.592440948E0,8.954379272E0,1.111980571E1
8.060435833E-1,-3.809577942E-1,6.505771179E0,9.082063751E0,1.117828562E1
8.160865833E-1,-5.442681885E-1,6.573580170E0,9.273365936E0,1.137996045E1
8.261295834E-1,-6.827302551E-1,6.661597137E0,9.528884583E0,1.164657196E1
8.361725833E-1,-8.074209595E-1,6.729406128E0,9.712702332E0,1.184370812E1
8.462155833E-1,-8.771759033E-1,6.744075623E0,9.743538208E0,1.188227800E1
8.562585833E-1,-8.906478882E-1,6.723418579E0,9.630074158E0,1.177862213E1
8.663015833E-1,-9.210346985E-1,6.628366241E0,9.483828278E0,1.160717635E1
8.763435833E-1,-1.041384430E0,6.376290436E0,9.397906952E0,1.140448229E1
8.863865833E-1,-1.081051941E0,5.985902252E0,9.388027496E0,1.118636489E1
8.964295833E-1,-8.264314270E-1,5.503455505E0,9.871671753E0,1.133229520E1
9.064725833E-1,-4.263134766E-1,4.847070465E0,1.070663544E1,1.176043697E1
9.165155833E-1,-1.721420288E-2,4.203109589E0,1.157752441E1,1.231687859E1
9.265585833E-1,1.562750244E-1,3.813020782E0,1.202000427E1,1.261126687E1
9.366015834E-1,6.571334839E-2,3.587290192E0,1.161659317E1,1.215805108E1
9.466445833E-1,1.842668152E-1,3.611689453E0,1.060035645E1,1.120025945E1
9.566875833E-1,4.233197021E-1,3.735931091E0,9.365723877E0,1.009223288E1
9.667305833E-1,2.408491516E-1,3.892804871E0,8.002658386E0,8.902498488E0
9.767735833E-1,3.697311401E-1,4.211492157E0,7.491172028E0,8.601803628E0
9.868165833E-1,9.102571106E-1,4.425996094E0,7.711962891E0,8.938253803E0
9.968595833E-1,9.946815491E-1,4.219425659E0,7.953410797E0,9.058128261E0
1.006902583E0,1.232237549E0,3.933220825E0,8.553512878E0,9.494799524E0
1.016945583E0,1.227447510E0,3.790417786E0,9.295819244E0,1.011366154E1
1.026988583E0,1.774110718E0,3.666774902E0,9.605974274E0,1.043395653E1
1.037031583E0,2.129172363E0,3.420836334E0,9.429042206E0,1.025389356E1
1.047074583E0,2.136656799E0,3.177592163E0,8.701255646E0,9.506536911E0
1.057117583E0,1.870360565E0,3.137774963E0,7.915689240E0,8.717913541E0
1.067160583E0,1.577419739E0,3.341201935E0,6.891069946E0,7.819125808E0
1.077203583E0,1.042282562E0,3.599265289E0,7.768694916E0,8.625177346E0
1.087246583E0,6.515950012E-1,3.656745758E0,9.038204956E0,9.771668968E0
1.097289583E0,4.188290405E-1,3.598217468E0,8.718918915E0,9.441511201E0
1.107332583E0,3.174897766E-1,3.767665100E0,8.519982605E0,9.321276933E0
1.117375583E0,4.336482239E-1,3.956272888E0,8.334069214E0,9.235629681E0
1.127418583E0,1.609153748E-1,4.208049316E0,7.648943939E0,8.731547182E0
1.137461583E0,3.393443298E-1,4.237837372E0,7.057972870E0,8.239502485E0
1.147504583E0,7.228468323E-1,4.048780518E0,6.904691620E0,8.036784033E0
1.157547583E0,7.837701416E-1,4.068988495E0,7.037465515E0,8.166816019E0
1.167590583E0,5.655239868E-1,4.211342468E0,7.089257813E0,8.265155721E0
1.177633583E0,2.933898926E-1,4.170627136E0,7.181466064E0,8.309853379E0
1.187676583E0,1.721420288E-1,3.968397675E0,7.605085144E0,8.579926167E0
1.197718583E0,4.505630493E-2,3.732488251E0,8.050858154E0,8.874109287E0
1.207761583E0,-1.299298096E-1,3.616030426E0,8.381370850E0,9.129070879E0
1.217804583E0,-3.357518005E-1,3.633244629E0,8.306975555E0,9.072984001E0
1.227847583E0,-4.293072510E-1,3.637286224E0,7.951015778E0,8.754016660E0
1.237890583E0,-3.841012573E-1,3.760180664E0,7.657625885E0,8.539656117E0
1.247933583E0,-2.887495422E-1,4.010759583E0,7.408992920E0,8.429872171E0
1.257976583E0,-2.847079468E-1,4.266727295E0,7.256460114E0,8.422721283E0
1.268019583E0,-2.487826538E-1,4.441414032E0,7.376510468E0,8.613997800E0
1.278062583E0,-2.730322266E-1,4.629872131E0,7.726782074E0,9.011849076E0
1.288105583E0,-4.478686523E-1,4.683011627E0,7.789801025E0,9.100120013E0
1.298148583E0,-6.773414612E-1,4.530927887E0,7.409142609E0,8.711113199E0
1.308191583E0,-1.097667389E0,4.374203796E0,7.093449097E0,8.405685733E0
1.318234583E0,-1.573976898E0,4.408482513E0,7.216642914E0,8.601863536E0
1.328277583E0,-1.741328888E0,4.552632751E0,7.457641754E0,8.909271115E0
1.338320583E0,-1.493594055E0,4.788841553E0,7.620952148E0,9.123745846E0
1.348363583E0,-9.575587463E-1,5.155429230E0,7.789052582E0,9.389606457E0
1.358406583E0,-4.502636719E-1,5.469625854E0,8.053552551E0,9.745729991E0
1.368449583E0,-2.555186462E-1,5.583538971E0,8.433013458E0,1.011715934E1
1.378492583E0,-1.098715210E-1,5.427114258E0,9.069040833E0,1.056944381E1
1.388535583E0,-2.097138977E-1,5.386847992E0,9.747579803E0,1.113900459E1
1.398578583E0,-3.537144470E-1,5.511538696E0,1.006207581E1,1.147813322E1
1.408621583E0,-2.724334717E-2,5.280269623E0,1.032193542E1,1.159415113E1
1.418664583E0,3.622467041E-2,5.248834991E0,1.047596512E1,1.171739844E1
1.428707583E0,-4.370910645E-2,5.361101532E0,1.055574921E1,1.183922132E1
1.438750583E0,-3.607498169E-2,5.437442780E0,1.060379929E1,1.191669605E1
1.448793583E0,-2.477348328E-1,5.687123566E0,1.018077896E1,1.166417624E1
1.458836583E0,-2.633024597E-1,5.774242401E0,9.765692139E0,1.134812524E1
1.468879583E0,-2.258802795E-1,5.796995087E0,9.612261200E0,1.122727658E1
1.478922583E0,-1.721420288E-1,5.709277496E0,9.639803925E0,1.120496774E1
1.488965583E0,2.993774414E-4,5.391937408E0,9.718689880E0,1.111422161E1
1.499008583E0,2.721340942E-1,4.841831360E0,9.790989532E0,1.092615504E1
1.509051583E0,4.120930481E-1,4.392914886E0,9.878258057E0,1.081884948E1
1.519094583E0,5.643264771E-1,4.127816162E0,1.010773087E1,1.093268283E1
1.529137583E0,5.478607178E-1,3.949237518E0,1.059616516E1,1.132145505E1
1.539179583E0,2.757266235E-1,3.708388367E0,1.129625931E1,1.189258777E1
1.549222583E0,-5.014572144E-2,3.350931702E0,1.218301529E1,1.263554983E1
1.559265583E0,-1.514849854E-1,3.052602081E0,1.293774582E1,1.329385550E1
