"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.274404630E-1,-2.545247793E0,1.750840902E0,-1.379598498E0
4.329954630E-1,-2.480192661E0,1.700598717E0,-1.271325827E0
4.385504630E-1,-2.365047932E0,1.652341843E0,-1.141978979E0
4.441054630E-1,-2.192330837E0,1.556744218E0,-9.912523627E-1
4.496604630E-1,-1.955780268E0,1.383721709E0,-8.335011005E-1
4.552154630E-1,-1.660282850E0,1.132816195E0,-6.832326651E-1
4.607704630E-1,-1.323095202E0,8.305995464E-1,-5.528167486E-1
4.663254630E-1,-9.692618847E-1,5.305208564E-1,-4.410317242E-1
4.718804630E-1,-6.178719997E-1,2.492256761E-1,-3.480302393E-1
4.774354630E-1,-2.880144715E-1,-8.704573847E-3,-2.702999115E-1
4.829904630E-1,5.344913341E-3,-2.473931462E-1,-2.009687424E-1
4.885454630E-1,2.614426315E-1,-4.781406820E-1,-1.392731816E-1
4.941004630E-1,4.834856093E-1,-7.145385742E-1,-7.360709459E-2
4.996554630E-1,6.713211536E-1,-9.463551044E-1,-3.359660041E-3
5.052104630E-1,8.171609044E-1,-1.156181097E0,7.085828483E-2
5.107654630E-1,9.093988538E-1,-1.340198874E0,1.481304616E-1
5.163204630E-1,9.486457705E-1,-1.486954927E0,2.257080674E-1
5.218754630E-1,9.378032684E-1,-1.574764252E0,2.977880239E-1
5.274304630E-1,9.017632604E-1,-1.611415029E0,3.593308926E-1
5.329854630E-1,8.522846103E-1,-1.610651493E0,4.074351192E-1
5.385404630E-1,7.928797603E-1,-1.578276634E0,4.408790171E-1
5.440954630E-1,7.178982496E-1,-1.502836943E0,4.579827189E-1
5.496504630E-1,6.151232123E-1,-1.397160411E0,4.588989913E-1
5.552054630E-1,4.908157587E-1,-1.271325827E0,4.488200247E-1
5.607604630E-1,3.431434333E-1,-1.126096964E0,4.333961308E-1
5.663154630E-1,1.693574041E-1,-9.579612017E-1,4.176668227E-1
5.718704630E-1,-1.893626526E-2,-7.889092565E-1,3.972034156E-1
5.774254630E-1,-2.061609477E-1,-6.375718117E-1,3.672719002E-1
5.829804630E-1,-3.790307343E-1,-5.099047422E-1,3.332171738E-1
5.885354630E-1,-5.363239050E-1,-4.089622498E-1,2.977880239E-1
5.940904630E-1,-6.754443645E-1,-3.416163325E-1,2.695363462E-1
5.996454630E-1,-7.886037827E-1,-3.048127890E-1,2.531961799E-1
6.052004630E-1,-8.751913905E-1,-2.912214398E-1,2.480039895E-1
6.107554630E-1,-9.367342591E-1,-3.466558158E-1,2.435753495E-1
6.163104630E-1,-9.859074950E-1,-4.705050886E-1,2.339545041E-1
6.218654630E-1,-1.014006495E0,-5.854970813E-1,2.318165302E-1
6.274204630E-1,-1.010341406E0,-7.101099491E-1,2.512109280E-1
6.329754630E-1,-9.784246087E-1,-8.872556686E-1,3.130592108E-1
6.385304630E-1,-9.313893318E-1,-1.089904189E0,4.660764635E-1
6.440854630E-1,-8.756495714E-1,-1.241241574E0,6.995728016E-1
6.496404630E-1,-8.260182142E-1,-1.361883998E0,9.495620728E-1
6.551954630E-1,-7.798992395E-1,-1.486191392E0,1.178324342E0
6.607504630E-1,-7.203416228E-1,-1.664406061E0,1.356539011E0
6.663054630E-1,-6.319214702E-1,-1.949366331E0,1.473669052E0
6.718604630E-1,-5.164713860E-1,-2.305490255E0,1.535211921E0
6.774154630E-1,-3.846810758E-1,-2.673678398E0,1.579956412E0
6.829704630E-1,-2.573194206E-1,-2.972229958E0,1.628824234E0
6.885254630E-1,-1.553079188E-1,-3.110586882E0,1.686091185E0
6.940804630E-1,-5.558710173E-2,-3.070729256E0,1.741525531E0
6.996354630E-1,5.787777901E-2,-2.825321198E0,1.802152157E0
7.051904630E-1,1.572931707E-1,-2.417122602E0,1.897749662E0
7.107454630E-1,2.415900975E-1,-1.944632292E0,2.008465767E0
7.163004630E-1,3.159607351E-1,-1.486038685E0,2.110171795E0
7.218554630E-1,3.770454824E-1,-1.064248681E0,2.188513041E0
7.274104630E-1,4.236225784E-1,-7.050704360E-1,2.236006498E0
7.329654630E-1,4.778352678E-1,-4.501944184E-1,2.259524107E0
7.385204630E-1,5.529694557E-1,-3.243598938E-1,2.276933193E0
7.440754630E-1,6.548282504E-1,-3.352024257E-1,2.310529709E0
7.496304630E-1,7.823426127E-1,-4.764608741E-1,2.364589691E0
7.551854630E-1,9.142856598E-1,-7.127060294E-1,2.420634985E0
7.607404630E-1,1.025307178E0,-9.952229261E-1,2.449039459E0
7.662954630E-1,1.112810969E0,-1.266286373E0,2.437891483E0
7.718504630E-1,1.171910524E0,-1.505127668E0,2.386580229E0
7.774054630E-1,1.203216434E0,-1.716480851E0,2.308238983E0
7.829604630E-1,1.217876673E0,-1.933484316E0,2.245169163E0
7.885154630E-1,1.206728816E0,-2.068176031E0,2.206532955E0
7.940704630E-1,1.168703556E0,-2.130024433E0,2.171867371E0
7.996254630E-1,1.118003249E0,-2.199508190E0,2.130482435E0
8.051804630E-1,1.056460381E0,-2.318165302E0,2.068939686E0
8.107354630E-1,9.816315174E-1,-2.479123592E0,1.975785494E0
8.162904630E-1,8.864920735E-1,-2.625116110E0,1.860335350E0
8.218454630E-1,7.640172243E-1,-2.686811686E0,1.735264301E0
8.274004630E-1,6.502469182E-1,-2.643441439E0,1.616301894E0
8.329554630E-1,5.575508475E-1,-2.494853020E0,1.531088710E0
8.385104630E-1,4.709632397E-1,-2.297549248E0,1.491994381E0
8.440654630E-1,4.254551232E-1,-2.097038746E0,1.504669547E0
8.496204630E-1,4.224008918E-1,-1.848881960E0,1.562089205E0
8.551754630E-1,4.366030693E-1,-1.582857966E0,1.635238171E0
8.607304630E-1,4.761554301E-1,-1.376238823E0,1.703347564E0
8.662854630E-1,5.486935377E-1,-1.271783948E0,1.753589749E0
8.718404630E-1,6.513158679E-1,-1.314085126E0,1.790851474E0
8.773954630E-1,7.870767117E-1,-1.540709496E0,1.844758749E0
8.829504630E-1,9.437590241E-1,-1.844300628E0,1.893931985E0
8.885054630E-1,1.136939406E0,-2.186833143E0,1.972120404E0
8.940604630E-1,1.350888729E0,-2.525395393E0,2.123305082E0
8.996154630E-1,1.567739487E0,-2.842730522E0,2.358175755E0
9.051704630E-1,1.783826709E0,-3.055916071E0,2.659018040E0
9.107254630E-1,1.969829679E0,-3.113335848E0,2.967495918E0
9.162804630E-1,2.092304468E0,-3.053167343E0,3.216416359E0
9.218354630E-1,2.139034271E0,-2.943214893E0,3.391118526E0
9.273904630E-1,2.125901222E0,-2.867316961E0,3.514815092E0
9.329454630E-1,2.071230412E0,-2.860903025E0,3.617742777E0
9.385004630E-1,2.006785870E0,-2.905647755E0,3.728153467E0
9.440554630E-1,1.960819721E0,-2.958333254E0,3.853988171E0
9.496104630E-1,1.953031421E0,-2.971313715E0,3.984709263E0
9.551654630E-1,1.973189354E0,-2.909160137E0,4.108100414E0
9.607204630E-1,2.004953384E0,-2.771261215E0,4.206294060E0
9.662754630E-1,2.013658047E0,-2.585411072E0,4.259896278E0
9.718304630E-1,1.980519533E0,-2.366575003E0,4.270738602E0
9.773854630E-1,1.897902489E0,-2.131246090E0,4.261728764E0
9.829404630E-1,1.776191115E0,-1.903094649E0,4.241265297E0
9.884954630E-1,1.635848999E0,-1.673416018E0,4.200033188E0
9.940504630E-1,1.498102903E0,-1.405406833E0,4.130854607E0
9.996054630E-1,1.384179831E0,-1.070662498E0,4.031439304E0
1.005160463E0,1.297744989E0,-6.948387623E-1,3.904077530E0
1.010715463E0,1.224596024E0,-3.132119179E-1,3.754267216E0
1.016270463E0,1.152210593E0,5.207473040E-2,3.576816082E0
1.021825463E0,1.071426034E0,3.941491842E-1,3.379817963E0
1.027380463E0,9.837695360E-1,6.826218367E-1,3.167090416E0
1.032935463E0,8.874083757E-1,9.135220647E-1,2.969175816E0
1.038490463E0,7.762341499E-1,1.099525094E0,2.810660839E0
1.044045463E0,6.525375843E-1,1.241394401E0,2.686200857E0
1.049600463E0,5.161659122E-1,1.343253136E0,2.587701797E0
1.055155463E0,3.643703759E-1,1.436712742E0,2.511345863E0
1.060710463E0,2.139492482E-1,1.490925431E0,2.434226274E0
1.066265463E0,8.918370306E-2,1.466644287E0,2.342293739E0
1.071820463E0,-2.901524538E-3,1.406781197E0,2.237228155E0
1.077375463E0,-5.375456065E-2,1.325996637E0,2.124526739E0
1.082930463E0,-7.116370648E-2,1.225817680E0,2.003731728E0
1.088485463E0,-9.254335612E-2,1.131289124E0,1.884921908E0
1.094040463E0,-1.221694499E-1,1.060889006E0,1.790393353E0
1.099595463E0,-1.467560530E-1,1.024085402E0,1.725032687E0
1.105150463E0,-1.516428292E-1,1.035844207E0,1.695406556E0
1.110705463E0,-1.238492802E-1,1.069593549E0,1.705790997E0
1.116260463E0,-6.306997687E-2,1.096928954E0,1.753742456E0
1.121815463E0,8.093725890E-3,1.122584581E0,1.825058937E0
1.127370463E0,8.536590636E-2,1.129303813E0,1.887823462E0
1.132925463E0,1.853921413E-1,1.092958450E0,1.913937211E0
1.138480463E0,3.272614181E-1,1.020420313E0,1.916075110E0
1.144035463E0,4.989095032E-1,9.217684865E-1,1.920503736E0
1.149590463E0,6.649072170E-1,8.214368224E-1,1.925237894E0
1.155145463E0,7.828007340E-1,7.351546884E-1,1.902025700E0
1.160700463E0,8.365553021E-1,6.716265678E-1,1.841551781E0
1.166255463E0,8.218950033E-1,6.383354068E-1,1.752215385E0
1.171810463E0,7.353073955E-1,6.410841942E-1,1.617981672E0
1.177365463E0,6.033644080E-1,6.945333481E-1,1.461757541E0
1.182920463E0,4.547757804E-1,7.750124335E-1,1.291025639E0
1.188475463E0,3.202366829E-1,8.348754644E-1,1.110825777E0
1.194030463E0,2.250972092E-1,8.489249945E-1,9.179506898E-1
1.199585463E0,1.870719790E-1,8.160919547E-1,7.220214605E-1
1.205140463E0,1.973036677E-1,7.719582319E-1,5.633538961E-1
1.210695463E0,2.238755226E-1,7.276718020E-1,4.555393457E-1
1.216250463E0,2.408265322E-1,6.994200945E-1,3.907895386E-1
1.221805463E0,2.431172132E-1,7.029324770E-1,3.723114133E-1
1.227360463E0,2.237228155E-1,7.375980616E-1,3.956763148E-1
1.232915463E0,1.640124917E-1,8.338065147E-1,4.184303582E-1
1.238470463E0,3.878879920E-2,9.999569654E-1,4.303418994E-1
1.244025463E0,-1.325538605E-1,1.225206852E0,4.558447599E-1
