Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
9.532086137,-1.077966571,-10.25623608,-0.5641079545
9.537641137,-1.162313581,-10.0839529,-0.2530409992
9.543196137,-1.237089276,-9.931410789,-0.03050848842
9.548751137,-1.312463164,-9.839286804,0.1016949639
9.554306137,-1.339980721,-9.799206734,0.1369891018
9.559861137,-1.400997639,-9.853045464,0.1178465188
9.565416137,-1.491924882,-9.974481583,0.06221338734
9.570971137,-1.6181463,-10.0965147,-0.0005982056609
9.576526137,-1.763510346,-10.23051357,-0.08255238086
9.582081137,-1.931606054,-10.36271667,-0.1914258152
9.587636137,-2.143969059,-10.52662468,-0.2691925466
9.593191137,-2.393420935,-10.72044373,-0.3972085714
9.598746137,-2.696112871,-10.98365402,-0.5270192027
9.604301137,-2.980858803,-11.26301575,-0.6406782866
9.609856137,-3.166900873,-11.50469112,-0.8159525394
9.615411137,-3.453441381,-11.81934738,-0.9355936646
9.620966137,-3.547957659,-12.14536953,-0.9912267923
9.626521137,-3.491128206,-12.44327641,-1.039681435
9.632076137,-3.354737282,-12.69751358,-1.083948612
9.637631137,-3.122035265,-12.86501122,-1.080359459
9.643186137,-2.797807932,-12.94636726,-1.104287624
9.648741137,-2.740978241,-12.64487171,-1.188634634
9.654296137,-2.293520451,-12.63829136,-1.510469317
9.659851137,-1.987837434,-12.38883877,-1.819741607
9.665406137,-2.182254314,-12.02991581,-1.759921074
9.670961137,-2.525624275,-11.63689518,-1.350150228
9.676516137,-2.782254457,-11.31685448,-0.5252245665
9.682071137,-3.227319479,-11.07518005,0.6909275651
9.687626137,-4.138386726,-11.02313614,2.998805046
9.693181137,-5.048855782,-11.10927773,6.401398659
9.698736137,-5.450251579,-11.42393398,7.08036232
9.704291137,-4.774279594,-12.05324554,5.498108387
9.709846137,-3.443271875,-12.50967693,3.684946775
9.715401137,-1.999203324,-13.00379467,2.596810818
9.720956137,-0.5958128572,-13.50329685,2.122433662
9.726511137,0.4983053207,-14.00818157,1.707877159
9.732066137,1.623530149,-14.58664703,1.40997076
9.737621137,2.124228239,-14.75115299,0.9720842242
9.743176137,2.136790514,-14.65364552,0.4115654826
9.748731137,2.088335991,-14.36770344,0.07537391037
9.754286137,2.179263115,-14.28455257,-0.2584248483
9.759841137,2.362912416,-14.2378931,-0.6759724021
9.765396137,2.68175602,-14.17687607,-0.9744769931
9.770951137,2.876172781,-14.04467297,-1.333400369
9.776506137,2.756531715,-13.76231956,-1.676172256
